post_id,user_id,social_user,context_content,post_link,post_fb_id
POST_001,FB_100063806942912,Tikop,"🎉TIKOP KHỞI ĐỘNG CHUỖI SỰ KIỆN TẾT: BÙNG NỔ LỄ HỘI🎉  Tháng 2 này không chỉ có Tết mà có cả chuỗi ngày hội bùng nổ sự kiện và quà tặng từ Tikop! 💥 Hàng loạt hoạt động và sự kiện đặc biệt chưa từng có! 💥  Quà tặng hấp dẫn: Quà Tết xịn xò, vật phẩm xinh xắn và hàng triệu điểm thưởng đang chờ bạn chinh phục   👉 Và rất nhiều điều sẽ được bật mí dần dần trong thời gian tới  📅  Lịch trình sự kiện Tết Tikop đã sẵn sàng! Nội dung chi tiết từng sự kiện, từng hoạt động thú vị sẽ được Tikop hé lộ dần dần — cùng đón chờ nhé! ✅  Lưu lại lịch ✅  Theo dõi fanpage và sẵn sàng tham gia và đón Tết theo cách rộn ràng nhất cùng Tikop!!  💬 Bạn đang mong chờ event nào nhất trong chuỗi sự kiện Tết của Tikop? Comment cho Tikop biết nhé!",https://www.facebook.com/100063806942912/posts/1458621369608081,1458621369608081
POST_002,FB_100063806942912,Tikop,,https://www.facebook.com/100063806942912/posts/33698178426463393,33698178426463393
POST_003,FB_100063806942912,Tikop,"🎉 CÔNG BỐ KẾT QUẢ MINIGAME LÀM NHIỆM VỤ THÁNG  x10 ĐIỂM THƯỞNG 🎉  Sau thời gian diễn ra minigame từ 13/01 – 22/01/2026, Tikop đã tìm ra những người chơi may mắn nhất hoàn thành nhiệm vụ hợp lệ  🥇 02 Giải Nhất : 30.000 điểm thưởng -Điện Tử BK: https://www.facebook.com/hoang.robocontech.9 -Trời Hoa Mặt: https://www.facebook.com/bien.pham.3367174  🥈 05 Giải Nhì :10.000 điểm thưởng -Mỹ Lợi: https://www.facebook.com/tho.cao.1044  -Vu Dac Thien An: https://www.facebook.com/taurus.anvu -Nguyễn Sang: https://www.facebook.com/profile.php?id=100031238830218 -Hoàng Thảo Nhi: https://www.facebook.com/hoangthaonhil? -Mai Mai: https://www.facebook.com/saomai.tran.773   🥉 10 Giải ba: 5.000 điểm thưởng -Minh: https://www.facebook.com/minh.772388 -Thuy Kun: https://www.facebook.com/linh.573638 -Ánh Phạm: https://www.facebook.com/anh.pham.194511 -Sang Van: https://www.facebook.com/sam.jonny.982 -Lang Thi: https://www.facebook.com/lang.thi.101093 -Linh Lan: https://www.facebook.com/mark.loriola -Bảo Lam: https://www.facebook.com/thiet.thuythu? Bùi Thắng: https://www.facebook.com/profile.php -Nguyễn.K. Huyền: https://www.facebook.com/nguyen.k.huyen.759321 -Nguyễn Phương Linh https://www.facebook.com/nguyen.phuong.linh.73943?  Nếu bạn có tên trong danh sách may mắn, hãy inbox fanpage Tikop trước ngày 2/2/2026 để xác nhận và nhận quà nhé!  LƯU Ý: Sau thời gian này, các phần quà chưa được xác nhận sẽ không còn hiệu lực!  Điểm thưởng sẽ được cộng trực tiếp vào tài khoản Tikop của người trúng giải trong thời gian sớm nhất. Mọi người vui lòng inbox fanpage Tikop để được hỗ trợ.  ✨ Cảm ơn tất cả mọi người đã tham gia minigame và hoàn thành nhiệm vụ tháng cùng Tikop. 👉 Đừng quên theo dõi fanpage để không bỏ lỡ nhiều nhiệm vụ & minigame hấp dẫn hơn nữa trong thời gian tới!",https://www.facebook.com/100063806942912/posts/1457786793024872,1457786793024872
POST_004,FB_100063806942912,Tikop,"🔥 TIKOP CẬP NHẬT LỢI NHUẬN MỚI🔥  📢 Từ ngày 29/1/2026, Tikop chính thức áp dụng mức lợi nhuận MỚI - HẤP DẪN HƠN cho các gói tích lũy trên ứng dụng Tikop.  CHI TIẾT MỨC LỢI NHUẬN CẬP NHẬT: 💰 Kỳ hạn 13 tháng • Lợi nhuận mục tiêu: 7,5%/năm • Rút trước hạn: 1%/năm • Rút trước 1 phần: phần còn lại giữ nguyên 7,5%/năm  💰 Kỳ hạn 5 tháng • Lợi nhuận mục tiêu: 6,8%/năm • Rút trước hạn: 1%/năm • Rút trước 1 phần: phần còn lại giữ nguyên 6,8%/năm  💰 Kỳ hạn 3 tháng • Lợi nhuận mục tiêu: 6,5%/năm • Rút trước hạn: 1%/năm • Rút trước 1 phần: phần còn lại giữ nguyên 6,5%/năm  💰 Kỳ hạn 2 tháng • Lợi nhuận mục tiêu: 6,3%/năm • Rút trước hạn: 0.5%/năm • Rút trước 1 phần: phần còn lại giữ nguyên 6,3%/năm  💰 Kỳ hạn 1 tháng • Lợi nhuận mục tiêu: 6,3%/năm • Rút trước hạn: 0.5%/năm • Rút trước 1 phần: phần còn lại giữ nguyên 6,3%/năm  LƯU Ý: - Lợi nhuận mới chỉ áp dụng cho các hợp đồng tạo mới từ ngày 29/01/2026 - Các hợp đồng cũ không bị ảnh hưởng - Quý khách vui lòng cập nhật Tikop phiên bản mới nhất để trải nghiệm các gói mới",https://www.facebook.com/100063806942912/posts/1457701163033435,1457701163033435
POST_005,FB_100063806942912,Tikop,"🎉 MINIGAME: Ô CHỮ ĐẦU TƯ – GHÉP CHỮ RINH QUÀ CÙNG QUỸ MỞ DFVN 🎉 💡 Tikop cùng Quỹ mở DFVN mở màn minigame “Ô chữ đầu tư” – vừa giải đố, vừa tích lũy kiến thức đầu tư.  Quỹ DFVN – Công ty TNHH MTV Quản lý Quỹ Dai-ichi Life Việt Nam là đơn vị quản lý tài sản uy tín với quy mô lên đến 2,5 tỷ USD, cùng hơn 10 năm kinh nghiệm đồng hành và kiến tạo giá trị bền vững trên thị trường tài chính Việt Nam.   👉 Tham gia minigame ngay hôm nay để khám phá thêm thông tin về Quỹ DFVN và chinh phục ô chữ bí mật thú vị nhé! 🎁  🔎 CÂU HỎI GỢI Ý Câu 1: Mục tiêu đầu tư của Quỹ DFVN-CAF là đạt mức tăng trưởng cao hơn chỉ số nào? Câu 2: Quỹ DFVN-CAF thực hiện mục tiêu tăng trưởng vốn và tài sản của Nhà đầu tư trong dài hạn bằng cách đầu tư chủ yếu vào loại tài sản nào ? Câu 3: Điền vào chỗ trống: Khách hàng của DFVN là khách hàng có định hướng đầu tư _____ và/hoặc đầu tư định kỳ, phân bổ một phần thu nhập nhằm tối ưu hóa lợi nhuận trên thị trường chứng khoán. Câu 4: Quỹ đầu tư trái phiếu thuộc Công ty TNHH MTV Quản lý quỹ Dai-ichi Life Việt Nam (DFVN), phù hợp với nhà đầu tư có khẩu vị rủi ro trung bình hoặc thấp, có tên là gì?   📝 CÁCH THỨC THAM GIA  Bước 1: Giải 4 câu hỏi để hoàn thành 4 hàng ngang và tìm ra từ khóa bí mật hàng dọc. Bước 2: Bình luận đáp án + từ khóa + 1 số may mắn từ 01-999 để chờ quà về tay 🎁 Bước 3: Share bài viết này ở chế độ Công khai  🎁 GIẢI THƯỞNG: 05 nhà đầu tư may mắn có câu trả lời đúng sẽ nhận được ly giữ nhiệt xinh xắn đến từ DFVN.  ⏰ Thời gian tham gia: Từ ngày 28/1/2026 - 04/02/2026  👉 Tham gia ngay để vừa hiểu hơn về Quỹ mở DFVN - vừa rinh quà xịn về tay!",https://www.facebook.com/100063806942912/posts/1456525026484382,1456525026484382
